ISSN	Titulo	Estrato	
1003-6326	Transactions of Nonferrous Metals Society of China	A2
0002-8320	Transactions of The American Entomological Society (1890)	B4
0002-8487	Transactions of The American Fisheries Society (1900)	A4
0002-9947	Transactions of The American Mathematical Society	A1
2151-0032	Transactions of The Asabe	A3
0142-3312	Transactions of The Institute of Measurement and Control	A4
1477-0369	Transactions of The Institute of Measurement and Control (Online)	A4
1474-9009	Transactions of The Institution of Mining and Metallurgy. Section A, Mining Technology	A4
0035-9203	Transactions of The Royal Society of Tropical Medicine and Hygiene	A2
2161-3915	Transactions on Emerging Telecommunications Technologies (Online)	A2
2450-5730	Transactions on Environment and Electrical Engineering	B2
1765-2766	Transatlantica - American Studies Journal	A4
1865-1682	Transboundary and Emerging Diseases	A1
1363-4615	Transcultural Psychiatry	A2
2045-4813	Transfer	A3
1886-5542	Transfer (Barcelona)	B3
1024-2589	Transfer: European Review of Labour and Research	A2
2077-2955	Transformación	A2
1083-4362	Transformation Groups	A2
1052-5017	Transformations (Wayne, N.J.)	B4
1941-2258	Transformative Works and Cultures	A1
1750-6166	Transforming Government (Print)	A1
0041-1132	Transfusion (Arlington, Va.)	A3
1473-0502	Transfusion and Apheresis Science	B1
1365-3148	Transfusion Medicine (Online)	B1
0958-7578	Transfusion Medicine (Print)	B1
1660-3818	Transfusion Medicine and Hemotherapy	A4
1660-3796	Transfusion Medicine and Hemotherapy (Print)	A4
0962-8819	Transgenic Research	A3
0103-3786	Transinformação	A2
2318-0889	Transinformação	A2
0340-4285	Transition Metal Chemistry (Weinheim)	B1
2236-4013	Translatio	A4
1932-2798	Translation and Interpreting Studies | The Journal of The American Translation and Interpreting A1
2364-8899	Translation and Multilingual Natural Language Processing	A4
2223-4683	Translational Andrology and Urology	A2
2573-2102	Translational Animal Science	B4
2219-6803	Translational Cancer Research	B3
2218-676x	Translational Cancer Research (Print)	B3
2415-1289	Translational Gastroenterology and Hepatology	B3
2081-6936	Translational Neuroscienc	B2
1944-7124	Translational Oncology	A2
1936-5233	Translational Oncology (Online)	A2
2158-3188	Translational Psychiatry	A1
1931-5244	Translational Research: The Journal of Laboratory and Clinical Medicine	A1
2164-2591	Translational Vision Science and Technology	A2
2184-1519	Translocal	B3
1925-2099	Transnational Corporations Review	B3
1449-8855	Transnational Curriculum Inquiry	B1
0966-3274	Transplant Immunology	B1
1399-3062	Transplant Infectious Disease (Online)	A4
1398-2273	Transplant Infectious Disease (Print)	A4
0934-0874	Transplant International	A2
0041-1337	Transplantation	A1
0041-1345	Transplantation Proceedings	B1
0955-470x	Transplantation Reviews	A3
0169-3913	Transport in Porous Media	A2
0967-070x	Transport Policy (Oxford)	A1
0144-1647	Transport Reviews	A1
0049-4488	Transportation (Amsterdam)	A1
1572-9435	Transportation (Dordrecht. Online)	A1
2214-3912	Transportation Geotechnics	A2
0308-1060	Transportation Planning and Technology	A2
0361-1981	Transportation Research Record	B1
0965-8564	Transportation Research. Part A, Policy and Practice	A1
0191-2615	Transportation Research. Part B: Methodological	A1
0968-090x	Transportation Research. Part C, Emerging Technologies	A1
1361-9209	Transportation Research. Part D, Transport and Environment	A1
1366-5545	Transportation Research. Part E, Logistics and Transportation Review	A1
1369-8478	Transportation Research. Part F, Traffic Psychology and Behaviour	A1
0041-1655	Transportation Science	A1
2413-9203	Transportation Systems and Technology	B4
1415-7713	Transportes (Rio de Janeiro)	A3
2237-1346	Transportes (Rio de Janeiro)	A3
2344-3219	Transylvanian Review of Systematical and Ecological Research	B4
2322-9381	Trashumante: Revista Americana de Historia Social	A1
2362-6194	Traslaciones - Revista Latinoamericana de Lectura y Escritura	B1
2067-2705	Traslationes	B1
1524-8380	Trauma, Violence & Abuse	A1
2214-367x	Travel Behaviour and Society	A2
1477-8939	Travel Medicine and Infectious Disease	A1
0329-9449	Travesía - Revista de Historia Económica y Social	A2
2314-2707	Travesía (Online)	A2
1982-5935	Travessias (Unioeste. Online)	B1
2236-7403	Travessias Interativas	B1
2557-0633	Trayectorias Humanas Trascontinentales	B4
1614-2942	Tree Genetics & Genomes (Print)	A1
0829-318x	Tree Physiology	A1
1536-1098	Tree-Ring Research	A2
0931-1890	Trees (Berlin. Print)	A2
2317-1073	Trem de Letras	B3
0167-7799	Trends in Biotechnology (Regular Ed.)	A1
2405-8033	Trends in Cancer	A1
1050-1738	Trends in Cardiovascular Medicine	A2
0169-5347	Trends in Ecology & Evolution (Amsterdam. Print)	A1
2214-1588	Trends in Environmental Analytical Chemistry	A1
0924-2244	Trends in Food Science & Technology (Regular Ed.)	A1
2331-2165	Trends in Hearing	A3
1471-4906	Trends in Immunology (Print)	A1
0966-842x	Trends in Microbiology (Regular Ed.)	A1
1471-4914	Trends in Molecular Medicine (Print)	A1
2211-9493	Trends in Neuroscience and Education	A2
0166-2236	Trends in Neurosciences (Regular Ed.)	A1
1084-4791	Trends in Organized Crime	A3
1471-4922	Trends in Parasitology	A1
1360-1385	Trends in Plant Science	A1
2358-1883	Trends in Psychology	A1
2318-5694	Tríade: Comunicação, Cultura e Mídia	B2
1984-0071	Triades em Revista	B4
0724-6234	Trialog	B1
1745-6215	Trials (London)	A4
2217-7965	Tribology in Industry	B3
0301-679x	Tribology International	A1
1023-8883	Tribology Letter	A2
1040-2004	Tribology Transactions	A3
2238-1651	Trilhas da História	B1
1984-5561	Trilhas Filosóficas (Online)	B4
2197-1927	Triple Helix	B3
1726-670x	Triplec (Viena)	A3
1138-3305	Trípodos (Barcelona)	A2
2176-4891	Trivium: Estudos Interdisciplinares	B2
2255-5463	Tropelías: Revista de Teoría de La Literatura y Literatura Comparada	A4
1870-0462	Tropical and Subtropical Agroecosystems	B3
0049-4747	Tropical Animal Health and Production	A3
0127-5720	Tropical Biomedicine	B3
1940-0829	Tropical Conservation Science	A4
0564-3295	Tropical Ecology	A3
2346-3775	Tropical Grasslands - Forrajes Tropicales	B2
1596-5996	Tropical Journal of Pharmaceutical Research (Print)	B1
1365-3156	Tropical Medicine & International Health	A1
1348-8945	Tropical Medicine and Health	B1
1513-9700	Tropical Natural History	B4
1935-9756	Tropical Plant Biology (Print)	A3
1982-5676	Tropical Plant Pathology	A4
0394-6975	Tropical Zoology (Testo Stampato)	B1
2358-212x	Tropos: Comunicação, Sociedade e Cultura	A4
1007-0214	Tsinghua Science and Technology	A2
1578-5777	Tst Transportes, Servicios y Telecomunicaciones	B1
1472-9792	Tuberculosis (Edinburgh)	A3
2005-6184	Tuberculosis and Respiratory Diseases (Online)	B1
0494-1373	Tuberkuloz Ve Toraks / Turkish Journal of Tuberculosis & Thorax (English)	B2
1010-4283	Tumor Biology	A4
0300-8916	Tumori (Milano)	B2
0886-7798	Tunnelling and Underground Space Technology	A1
1677-9045	Turismo & Pesquisa (Fea)	B4
1983-5442	Turismo e Sociedade	B2
2346-206x	Turismo y Sociedad (Online)	B1
1300-0152	Turkish Journal of Biology	A4
1300-0527	Turkish Journal of Chemistry	B1
1300-0098	Turkish Journal of Mathematics	B3
1300-0128	Turkish Journal of Veterinary & Animal Sciences	B1
1300-0179	Turkish Journal of Zoology	B1
1011-0895	Turkish Journal of Zoology	B1
1302-6488	Turkish Online Journal of Distance Education-Tojde	A3
1988-5261	Turydes - Revista de Investigación En Turismo y Desarrollo Local	B2
1832-4274	Twin Research and Human Genetics	B1
1997-8731	Tzhoecoen	B4
1870-719x	Tzintzun. Revista de Estudios Históricos	B1
2183-6493	U.Porto Journal of Engineering	B4
2177-6423	Uc - Unicamps Ciência	B4
2327-4514	Uc Irvine Law Review	A1
2414-8695	Ucv - Hacer. Revista de Investigación y Cultura.	B4
2011-4990	Ud y La Geomática	B1
2518-2242	Udziwi - Revista de Educação da Universidade Pedagógica	B4
0718-2236	Última Década	B2
0304-3991	Ultramicroscopy (Amsterdam)	A2
0172-4614	Ultraschall in Der Medizin	A1
0161-7346	Ultrasonic Imaging (Print)	A3
0041-624x	Ultrasonics (Guildford)	A1
1350-4177	Ultrasonics Sonochemistry	A1
2288-5943	Ultrasonography (Online)	A3
0301-5629	Ultrasound in Medicine & Biology	A2
1469-0705	Ultrasound in Obstetrics & Gynecology	A1
0960-7692	Ultrasound in Obstetrics & Gynecology (Print)	A1
0894-8771	Ultrasound Quarterly	B2
1066-2936	Undersea & Hyperbaric Medicine	B3
1983-3431	Uniletras	B1
0101-8698	Uniletras (Uepg. Impresso)	B1
1519-2571	Unimontes Científica	B2
2183-3435	Unio ¿ Eu Law Journal	B1
1815-0640	Unión (San Cristobal de La Laguna)	B2
1415-7896	Uniplac (Lages)	B3
1657-4249	Uni-Pluri (Medellin)	A3
2317-1294	Unisanta Humanitas	B3
2177-5303	Unisul de Fato e de Direito	B3
2525-4243	Unitas - Revista do Curso de Direito	B4
2050-6406	United European Gastroenterol Journal	A2
1615-5289	Universal Access in The Information Society (Print)	A4
2332-3205	Universal Journal of Educational Research	B4
2218-3620	Universidad y Sociedad	A4
0041-8935	Universidades	B4
1984-1213	Universitas (Mogi-Mirim)	B2
0120-4807	Universitas Humanistica	B1
2011-2734	Universitas Humanística	B1
1982-8268	Universitas Jus	B1
2027-3444	Universitas Odontológica	B3
0120-5323	Universitas Philosophica	A4
1657-9267	Universitas Psychologica	A2
0122-7483	Universitas Scientiarum: Revista de La Facultad de Ciencias de La Pontificia Universidad Javeriana	A3
1698-7950	Universitas. Revista de Filosofía, Derecho y Política	B3
2179-832x	Universitas: Gestão e Ti	B3
1390-8634	Universitas: Revista de Ciencias Sociales y Humanas	A3
2471-6723	University of Baltimore Journal of International Law (On Line)	B2
1524-9549	University of Pennsylvania. Working Papers in Linguistics (Online)	B3
2179-1589	Universo	B3
0718-2376	Universum (Talca. En Línea)	A2
1133-9853	Uno (Barcelona. 1994)	B2
2178-3411	Unoesc & Ciência - Acbs	B3
2178-342x	Unoesc & Ciência - Acet	B4
2178-3446	Unoesc & Ciência - Acsa	B3
1518-3580	Unopar Científica. Ciências Humanas e Educação	A3
1517-9427	Unopar Científica. Ciências Jurídicas e Empresariais	B2
2531-9906	Upland - Joyrnal of Urban Planning, Landscape e Environmental Design	B3
1078-0874	Urban Affairs Review (Thousand Oaks, Calif.)	A1
2212-0955	Urban Climate	A1
1357-5317	Urban Design International (London. Print)	A2
1083-8155	Urban Ecosystems	A1
1573-1642	Urban Ecosystems	A1
1618-8667	Urban Forestry & Urban Greening (Print)	A1
0272-3638	Urban Geography	A4
2413-8851	Urban Science	B3
1573-062x	Urban Water Journal	A2
1982-0569	Urbana - Revista Eletrônica do Centro Interdisciplinar de Estudos da Cidade	B1
2151-1896	Urbana: Urban Affairs and Public Policy	B2
2268-9613	Urbanités	B2
2175-3369	Urbe. Revista Brasileira de Gestão Urbana	A1
2358-6958	Urdimento	A1
1414-5731	Urdimento (Udesc)	A1
2194-7228	Urolithiasis	A3
0042-1138	Urologia Internationalis	A4
1078-1439	Urologic Oncology	A1
0090-4295	Urology (Ridgewood, N.J.)	A4
2214-4420	Urology Case Reports	B3
1390-3691	Urvio	B1
1390-4299	Urvio - Revista Latinoamericana de Estudios de Seguridad	B1
1537-1514	Usa-China Business Review. (Chinese)	B4
1573-1391	User Modeling and User-Adapted Interaction (Online)	A1
0957-1787	Utilities Policy	A2
2080-9670	Uwm Law Review	B1
1253-2479	Vacarme	B2
0264-410x	Vaccine (Guildford)	A2
0042-207x	Vacuum (Oxford)	A4
1539-1663	Vadose Zone Journal	A2
1098-3015	Value in Health	A1
2212-1099	Value in Health Regional Issues (Print)	A2
1982-4343	Varia Historia	A1
1396-0482	Variaciones Borges	A4
0301-1526	Vasa (Bern)	B1
1708-5381	Vascular (Hamilton)	B3
1538-5744	Vascular and Endovascular Surgery	B2
1178-2048	Vascular Health and Risk Management (Online)	A1
1176-6344	Vascular Health and Risk Management (Print)	A1
1358-863x	Vascular Medicine (London)	A4
1537-1891	Vascular Pharmacology	A2
2594-5491	Vazantes - Revista do Programa de Pós-Graduação em Artes do Instituto de Cultura e Artes	B3
1530-3667	Vector Borne and Zoonotic Diseases (Larchmont, N.Y.)	A4
1557-7759	Vector Borne and Zoonotic Diseases (Online)	A4
0939-6314	Vegetation History and Archaeobotany	A1
0042-3114	Vehicle System Dynamics	A1
2214-2096	Vehicular Communications	A1
2318-6062	Ventilando Acervos	B3
1369-1066	Venture Capital (London. Print)	A2
2236-5729	Veras	B2
1984-6959	Verbo de Minas	B1
2316-3267	Verbum	B1
2595-3508	Veredas	A2
1982-2243	Veredas - Revista de Estudos Linguísticos	A1
1982-4238	Veredas da História	B1
2179-8699	Veredas do Direito	A1
1679-1746	Veredas Favip	B3
1984-8463	Veredas Favip (Online)	B2
0874-5102	Veredas. Revista da Associação Internacional de Lusitanistas	B4
0506-7286	Verfassung Und Recht in Ubersee	A2
1981-061x	Verinotio (Belo Horizonte)	B2
0717-4675	Veritas	B3
1984-6746	Veritas Online	A2
2318-1028	Versalete	B1
0103-1414	Verso e Reverso: Revista da Comunicação (Unisinos. Impresso)	A4
1864-5755	Vertebrate Zoology	B1
0327-6139	Vertex - Revista Argentina de Psiquiatria	B1
1981-5875	Vestígios. Revista Latino-Americana de Arqueologia Histórica	B1
2313-0679	Vestnik Rudn. International Relations	A3
2178-3764	Veterinária e Zootecnia	B4
0102-5716	Veterinária e Zootecnia (Unesp)	B4
0505-401x	Veterinaria Italiana	A4
1983-0777	Veterinária Notícias	B4
0375-8427	Veterinární Medicína	A4
1805-9392	Veterinární Medicína	A4
0372-5480	Veterinarski Arhiv (Tisak)	B1
0350-2457	Veterinarski Glasnik	B4
1467-2995	Veterinary Anaesthesia and Analgesia (Online)	A1
1467-2987	Veterinary Anaesthesia and Analgesia (Print)	A1
1476-5829	Veterinary and Comparative Oncology (Online)	A1
0932-0814	Veterinary and Comparative Orthopaedics and Traumatology	A3
0275-6382	Veterinary Clinical Pathology	A3
1365-3164	Veterinary Dermatology	A2
0959-4493	Veterinary Dermatology (Print)	A2
0165-2427	Veterinary Immunology and Immunopathology (Print)	A2
2090-8113	Veterinary Medicine International	A3
0378-1135	Veterinary Microbiology (Amsterdam. Print)	A1
1463-5224	Veterinary Ophthalmology (Online)	A3
1463-5216	Veterinary Ophthalmology (Print)	A3
1873-2550	Veterinary Parasitology (Online)	A1
2405-9390	Veterinary Parasitology: Regional Studies and Reports	A4
0300-9858	Veterinary Pathology	A1
1058-8183	Veterinary Radiology and Ultrasound	A2
0042-4900	Veterinary Record	A1
2052-6121	Veterinary Record Case Reports	B2
1297-9716	Veterinary Research	A1
0165-7380	Veterinary Research Communications	A1
1573-7446	Veterinary Research Communications (Dordrecht. Online)	A1
2306-7381	Veterinary Sciences	B3
0161-3499	Veterinary Surgery	A2
2231-0916	Veterinary World (Online)	A4
0972-8988	Veterinary World (Print)	A4
2317-8086	Via Atlântica	A4
2176-6800	Via Litterae	B1
0873-1233	Via Spiritus (Porto)	A2
1676-0131	Via Teológica	B4
2468-9750	Viator (San Salvador de Jujuy)	A3
1809-4341	Vibrant (Florianópolis)	A1
0924-2031	Vibrational Spectroscopy (Print)	B1
2176-4603	Vidya (Santa Maria. Online)	A3
0240-8759	Vie et Milieu (1980)	B2
2317-269x	Vigilância Sanitária em Debate: Sociedade, Ciência & Tecnologia	B3
1806-2490	Vínculo (São Paulo. Impresso)	B2
2254-6901	Vinculos de Historia (Online)	A2
2059-5891	Vine Journal of Information and Knowledge Management Systems	A2
0294-1759	Vingtième Siècle, Revue D'histoire	B1
0882-8245	Viral Immunology	B3
0945-6317	Virchows Archiv	A2
0042-6822	Virology (New York, N.Y. Print)	A3
1743-422x	Virology Journal	A3
2214-6695	Virology Reports	B3
2397-9704	Virtual Creativity	B1
1359-4338	Virtual Reality (Waltham Cross)	B1
1853-6530	Virtualidad, Educación y Ciencia	A4
2150-5608	Virulence	A2
2175-974x	Virus	A2
2057-1577	Virus Evolution	B4
0920-8569	Virus Genes	B1
0168-1702	Virus Research (Print)	A3
2347-3517	Virusdisease	B1
2347-3584	Virusdisease	B1
1999-4915	Viruses	A1
2475-7462	Visigothic Symposia	B4
2248-485x	Visitas Al Patio (Print)	B3
1981-4062	Viso : Cadernos de Estética Aplicada	A4
0894-9468	Visual Anthropology (Journal)	A4
1472-586x	Visual Studies (Print)	A3
2317-6784	Visualidades	A3
0083-6729	Vitamins and Hormones	B1
0042-7500	Vitis	A4
0104-3064	Vivência: Revista de Antropologia	B4
1809-1636	Vivências (Uri. Erechim)	A3
2469-0767	Vivomatografías. Revista de Estudios Sobre Precine y Cine Silente En Latinoamérica	B2
0303-9021	Vlaams Dierengeneeskundig Tijdschrift	B3
2610-3540	Volcanica	B4
1950-568x	Volume! La Revue Des Musiques Populaires	A3
0957-8765	Voluntas (Manchester)	A2
2179-3786	Voluntas: Estudos Sobre Schopenhauer	A4
0042-9007	Vox Sanguinis (Basel. 1956)	B1
0104-0073	Vox Scripturae	B3
2237-4531	Vozes & Diálogo	B2
2238-6424	Vozes Dos Vales	B3
2317-1979	Vozes, Pretérito & Devir	B1
1745-0128	Vulnerable Children and Youth Studies (Print)	A4
2214-3149	Waardenwerk	B4
2446-8371	Wamon - Revista Dos Alunos do Programa de Pós-Graduação em Antropologia Social da Ufam	B4
1877-2641	Waste and Biomass Valorization	A3
0275-6196	Waste Management	A4
1096-3669	Waste Management & Research (Online)	A4
0956-053x	Waste Management (Elmsford)	A1
2073-4441	Water	A1
0974-4711	Water and Energy International	B4
2382-624x	Water Economics and Policy	A4
1554-7531	Water Environment Research (Online)	B3
0250-8060	Water International	A3
1741-7589	Water Management	B2
1366-7017	Water Policy	A3
1751-231x	Water Practice and Technology	B2
1201-3080	Water Quality Research Journal of Canada	B2
1876-1658	Water Quality, Exposure and Health	A2
0043-1354	Water Research (Oxford)	A1
0920-4741	Water Resources Management	A2
0043-1397	Water Resources Research	A1
0378-4738	Water S.A.	B1
1816-7950	Water Sa (Online)	B1
0273-1223	Water Science and Technology	A3
1606-9749	Water Science and Technology: Water Supply (Print)	A4
1567-7230	Water, Air and Soil Pollution	A3
0049-6979	Water, Air and Soil Pollution (Print)	A3
1524-4695	Waterbirds (De Leon Springs, Fla.)	B1
0165-2125	Wave Motion	A3
0043-1648	Wear (Lausanne)	A1
0043-1656	Weather	B3
2212-0947	Weather and Climate Extremes	A1
0882-8156	Weather and Forecasting	A3
1948-8327	Weather, Climate and Society	A1
2449-1608	Weber Educational Research & Instructional Studies	B2
2449-1616	Weber Psychiatry & Psychology	B4
2175-6163	Webmosaica	B2
1983-6740	Web-Revista Discursividade: Estudos Linguísticos	B1
2178-1486	Web-Revista Sociodialeto	A3
1444-6162	Weed Biology and Management (Print)	A4
0043-1737	Weed Research (Print)	A2
0043-1745	Weed Science	A2
0890-037x	Weed Technology	A3
1550-2740	Weed Technology	A3
1747-6585	Wej (Hertford)	A4
0043-2288	Welding in The World	A2
0043-2296	Welding Journal	A3
0043-3144	West Indian Medical Journal	B2
1943-6246	Wetlands	A3
0923-4861	Wetlands Ecology and Management	A3
1016-3115	Wgn (Mechelen)	B4
1080-6032	Wilderness & Environmental Medicine (Print)	A4
0084-0173	Wildlife Monographs	A1
1035-3712	Wildlife Research (East Melbourne)	A3
1757-7780	Wiley Interdisciplinary Reviews - Climate Change	A1
1939-005x	Wiley Interdisciplinary Reviews. Systems Biology and Medicine (Online)	A2
1942-4787	Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery	A1
2041-8396	Wiley Interdisciplinary Reviews: Energy and Environment	A2
1939-0041	Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology	A1
0511-9618	Willdenowia	A4
1081-549x	William & Mary Journal of Women and The Law	A2
1559-4491	Wilson Journal of Ornithology	B2
1226-6116	Wind and Structures	A3
0309-524x	Wind Engineering	B1
2212-9774	Wine Economics and Policy	A2
1530-8677	Wireless Communications and Mobile Computing	B1
1530-8669	Wireless Communications and Mobile Computing (Print)	B1
1022-0038	Wireless Networks	A3
0929-6212	Wireless Personal Communications	A4
1743-3541	Wit Transactions on Ecology and The Environment (Online)	B3
1746-4498	Wit Transactions on The Built Environment (Print)	A1
0363-0242	Women & Health	A1
1871-5192	Women and Birth (Print)	A1
1049-3867	Women's Health Issues	A1
0961-2025	Women's History Review (Impresso)	A3
0735-6161	Wood and Fiber Science	A4
1748-0280	Wood Material Science and Engineering	B1
1336-4561	Wood Research (Bratislava)	B1
0043-7719	Wood Science and Technology (Print)	A1
0043-7956	Word (Worcester)	A4
1875-9270	Work	B1
1051-9815	Work (Reading, Ma)	B1
1415-1464	Working Papers em Linguística (Impresso)	A4
1984-8420	Working Papers em Linguística (Online)	A4
2010-3778	World Academy of Science, Engineering and Technology	B4
0971-8052	World Affairs	A4
1818-4952	World Applied Sciences Journal (Print)	B4
0819-4610	World Council of Enterostomal Therapists Journal	B4
1834-6715	World Customs Journal (Online)	B3
0305-750x	World Development	A1
2452-2929	World Development Perspectives	A4
1467-9701	World Economy (Online)	A1
0378-5920	World Economy (Print)	A1
0886-117x	World History Bulletin	B3
2150-1351	World Journal for Pediatric and Congenital Heart Surgery	B1
2307-8960	World Journal of Clinical Cases	A4
2218-4333	World Journal of Clinical Oncology	A2
0976-6006	World Journal of Dentistry	B4
1749-7922	World Journal of Emergency Surgery	A1
1007-9327	World Journal of Gastroenterology	A3
1948-5190	World Journal of Gastrointestinal Endoscopy	B4
1948-5204	World Journal of Gastrointestinal Oncology	A4
2150-5349	World Journal of Gastrointestinal Pharmacology and Therapeutics	B3
1948-5182	World Journal of Hepatology	A2
2222-0682	World Journal of Methodology (Online)	B3
0959-3993	World Journal of Microbiology & Biotechnology	A4
2162-2000	World Journal of Neuroscience	B2
2162-2019	World Journal of Neuroscience	B2
1450-1147	World Journal of Nuclear Medicine (Print)	B4
2161-6795	World Journal of Nuclear Science and Technology	B3
2218-5836	World Journal of Orthopedics	A1
1708-8569	World Journal of Pediatrics (Print)	A4
2278-4357	World Journal of Pharmacy and Pharmaceutical Sciences	B1
2042-5945	World Journal of Science, Technology and Sustainable Development	A2
1948-0210	World Journal of Stem Cells	A2
0364-2313	World Journal of Surgery	A1
1477-7819	World Journal of Surgical Oncology	A3
2220-3230	World Journal of Transplantation	B4
0724-4983	World Journal of Urology (Print)	A2
1607-8055	World Leisure Journal	A4
1948-4682	World Medical and Health Policy	B2
1875-0796	World Mycotoxin Journal (Online)	A3
1878-8750	World Neurosurgery	A3
0172-2190	World Patent Information	A3
1935-6226	World Political Science Review	B2
0043-8871	World Politics (Print)	A1
1723-8617	World Psychiatry	A3
1257-5011	World Rabbit Science	B1
1741-2234	World Review of Science, Technology and Sustainable Development	A4
1748-8133	World Sustainable Development Outlook Series	B4
2454-6615	World Wide Journal of Multidisciplinary Research and Development (Online)	B1
0043-9339	World's Poultry Science Journal	A3
1545-102x	Worldviews on Evidence-Based Nursing	A1
1067-1927	Wound Repair and Regeneration	A1
1044-7946	Wounds (King of Prussia, Pa.)	A3
1756-5847	Writing and Pedagogy (Online)	A1
1109-9526	Wseas Transactions on Business and Economics	A4
1790-5079	Wseas Transactions on Environment and Development	B1
1436-4980	Wt Werkstattstechnik Online	B3
1561-882x	Wulfenia	B1
1366-5928	Xenobiotica	B1
0049-8254	Xenobiotica (London. Print)	B1
0908-665x	Xenotransplantation (Kobenhavn)	A1
2179-2259	Xi Simpósio Brasileiro de Jogos e Entretenimento Digital	A2
0049-8246	X-Ray Spectrometry	B2
1551-4056	Yale Journal of Biology and Medicine	A3
0889-7743	Yale Journal of International Law	B4
0965-1721	Yearbook of International Environmental Law	A3
0749-503x	Yeast (Chichester, England. Print)	A3
1103-3088	Young (Stockholm. 1993)	A3
0354-0243	Yugoslav Journal of Operations Research	B3
1390-938x	Yura Relaciones Internacionales	B3
2334-8666	Zbornik Radova Akademije Umetnosti	B1
1863-9690	Zdm (Berlin. Print)	A1
1557-8542	Zebrafish	A2
1862-6742	Zeitschrift Der Gesellschaft Für Musiktheorie	B1
0323-4045	Zeitschrift Der Savigny-Stiftung Für Rechtsgeschichte	A4
0179-6437	Zeitschrift Fuer Personalforschung	B4
0232-2064	Zeitschrift Fur Analysis Und Ihre Anwendungen	A4
0044-2267	Zeitschrift Fur Angewandte Mathematik Und Mechanik	B2
1420-9039	Zeitschrift Fur Angewandte Mathematik Und Physik (Electronic Ed.)	A2
0044-2313	Zeitschrift Fur Anorganische Und Allgemeine Chemie (1950)	B2
0044-2186	Zeitschrift Für Ästhetik Und Allgemeine Kunstwissenschaft	A2
1125-1155	Zeitschrift Für Die Gesamte Strafrechtswissenschaft	A4
0372-8854	Zeitschrift Fur Geomorphologie	B3
1205-6545	Zeitschrift Für Interkulturellen Fremdsprachenunterricht	A2
2196-7105	Zeitschrift Für Kristallographie. Crystalline Materials (Online)	B1
2194-4946	Zeitschrift Fur Kristallographie-Crystalline Materials	B1
0945-7313	Zeitschrift Fur Kritische Theorie	A2
0939-3889	Zeitschrift Fur Medizinische Physik	A4
0932-0784	Zeitschrift Fur Naturforschung. A, a Journal of Physical Sciences	B1
0932-0776	Zeitschrift Fur Naturforschung. B, a Journal of Chemical Sciences	B2
0939-5075	Zeitschrift Fur Naturforschung. C, a Journal of Biosciences	B3
0942-9352	Zeitschrift Fur Physikalische Chemie (Munchen. 1991)	B2
1137-1102	Zer. Revista de Estudios de Comunicación	A3
1980-4512	Zero-A-Seis (Florianópolis)	A4
0104-4877	Zetetike (Unicamp)	A3
0577-9073	Zhongguó Wùli Xuékan / Chinese Journal of Physics	B1
1982-9108	Zona de Impacto	B3
2545-6504	Zona Franca	B2
0329-8019	Zona Franca (Rosario)	B2
0733-3188	Zoo Biology	A4
1313-2970	Zookeys (Online)	A4
1984-4670	Zoologia (Curitiba)	B1
1812-9250	Zoologia Bespozvonocnyh (Print) / Invertebrate Zoology / Zoologiya Bespozvonochnykh	B1
0300-3256	Zoologica Scripta	A1
0024-4082	Zoological Journal of The Linnean Society	A1
0289-0003	Zoological Science	A4
1021-5506	Zoological Studies	A3
0044-5231	Zoologischer Anzeiger	A3
0944-2006	Zoology (Jena)	A2
2165-8013	Zoology and Ecology (Online)	B2
0720-213x	Zoomorphology (Berlin. Print)	A3
1432-234x	Zoomorphology (On Line)	A3
1863-1959	Zoonoses and Public Health (Print)	A1
1280-9551	Zoosystema (Paris. Imprimé)	B1
1435-1935	Zoosystematics and Evolution	B1
1860-0743	Zoosystematics and Evolution	B1
1175-5334	Zootaxa (Online)	A4
0344-8657	Zuckerindustrie (Berlin) / Sugar Industry (Berlin)	B4
1983-2621	Zunái: Revista de Poesia & Debates	B1
1467-9744	Zygon: Journal of Religion and Science	A1
0967-1994	Zygote (Cambridge. Print)	B2
2328-0662	# Isoj Journal	C
2177-5141	(N.T.) Revista Literária em Tradução	C
2318-7344	@Rquivo Brasileiro de Educação	C
1668-2939	30-60 Cuaderno Latinoamericano de Arquitectura	C
2175-8182	53 Congresso Brasileiro do Concreto - Ibracon 2011	C
2175-8174	54 Congresso Brasileiro do Concreto Cbc2011	C
0104-7922	A Agua em Revista	C
2594-8245	A Bruxa	C
0871-1097	A Cidade (Portalegre)	C
2145-1958	A Contratiempo	C
0023-9135	A Lavoura (Rio de Janeiro)	C
1984-1035	A Leitura: Caderno da Escola Superior de Magistratura do Estado do Pará	C
2236-4536	A Palavrada	C
2176-3356	A Palo Seco: Escritos de Filosofia e Literatura	C
2175-6104	A Peste: Revista de Psicanálise e Sociedade	C
2319-037x	A Revista em Foco	C
2175-1951	A Vida de Quem Não Morre	C
0044-5592	A. Rivista Anarchica	C
1028-3072	Aaa. Archivos de Arquitectura Antillana	C
2375-3803	Aascit Communications	C
2381-1285	Aascit Journal of Health (Online)	C
1532-8813	Aatcc Review	C
1784-1283	Abc Taxa	C
2318-8219	Abc: Imagem Cardiovascular	C
1518-0581	Abei Journal (São Paulo)	C
2527-0605	Abiodum	C
